Entity,Code,Year,Corruption Perception Rating
Afghanistan,AFG,2013,4.1
Albania,ALB,2013,4.2
Algeria,DZA,2013,4.6
Argentina,ARG,2013,4.5
Armenia,ARM,2013,4.4
Australia,AUS,2013,3.6
Azerbaijan,AZE,2013,3.6
Bangladesh,BGD,2013,4.2
Belgium,BEL,2013,3.9
Bolivia,BOL,2013,4.3
Bosnia and Herzegovina,BIH,2013,4.4
Brazil,BRA,2013,4.6
Bulgaria,BGR,2013,4.3
Burundi,BDI,2013,4.1
Cambodia,KHM,2013,3.8
Cameroon,CMR,2013,4.5
Canada,CAN,2013,3.7
Chile,CHL,2013,4.3
Colombia,COL,2013,4.4
Croatia,HRV,2013,4.3
Cyprus,CYP,2013,4.2
Czechia,CZE,2013,4.4
Democratic Republic of Congo,COD,2013,4.3
Denmark,DNK,2013,2.2
Egypt,EGY,2013,4.1
El Salvador,SLV,2013,4.3
Estonia,EST,2013,3.7
Ethiopia,ETH,2013,3.1
Fiji,FJI,2013,4.1
Finland,FIN,2013,2.9
France,FRA,2013,4.1
Georgia,GEO,2013,3.1
Germany,DEU,2013,3.9
Ghana,GHA,2013,4.4
Greece,GRC,2013,4.6
Hungary,HUN,2013,3.8
India,IND,2013,4.2
Indonesia,IDN,2013,4.7
Iraq,IRQ,2013,4.1
Israel,ISR,2013,4.3
Italy,ITA,2013,4.4
Jamaica,JAM,2013,4.4
Japan,JPN,2013,4.2
Jordan,JOR,2013,3.7
Kazakhstan,KAZ,2013,3.9
Kenya,KEN,2013,4.3
Kosovo,OWID_KOS,2013,4.5
Kyrgyzstan,KGZ,2013,4.6
Latvia,LVA,2013,4.2
Lebanon,LBN,2013,4.6
Liberia,LBR,2013,4.8
Libya,LBY,2013,3.5
Lithuania,LTU,2013,4.5
Luxembourg,LUX,2013,3.2
Madagascar,MDG,2013,4.2
Malawi,MWI,2013,4.5
Malaysia,MYS,2013,3.8
Maldives,MDV,2013,4.3
Mexico,MEX,2013,4.7
Moldova,MDA,2013,4.6
Mongolia,MNG,2013,4.8
Morocco,MAR,2013,4.6
Mozambique,MOZ,2013,4
Nepal,NPL,2013,4.5
New Zealand,NZL,2013,3.3
Nigeria,NGA,2013,4.7
North Macedonia,MKD,2013,4.1
Norway,NOR,2013,3.1
Pakistan,PAK,2013,4.6
Palestine,PSE,2013,3.9
Papua New Guinea,PNG,2013,4.6
Paraguay,PRY,2013,4.7
Peru,PER,2013,4.5
Philippines,PHL,2013,4.4
Portugal,PRT,2013,4.6
Romania,ROU,2013,4.5
Russia,RUS,2013,4.7
Rwanda,RWA,2013,2
Senegal,SEN,2013,4.5
Serbia,SRB,2013,4.7
Sierra Leone,SLE,2013,4.1
Slovakia,SVK,2013,4.2
Slovenia,SVN,2013,4.2
Solomon Islands,SLB,2013,4
South Africa,ZAF,2013,4.4
South Korea,KOR,2013,3.6
South Sudan,SSD,2013,3
Spain,ESP,2013,4.5
Sri Lanka,LKA,2013,3.7
Sudan,SDN,2013,2.6
Switzerland,CHE,2013,2.7
Taiwan,TWN,2013,3.9
Tanzania,TZA,2013,4.4
Thailand,THA,2013,4.1
Tunisia,TUN,2013,4.4
Turkey,TUR,2013,4
Uganda,UGA,2013,4.5
Ukraine,UKR,2013,4.6
United Kingdom,GBR,2013,3.7
United States,USA,2013,4
Uruguay,URY,2013,3.8
Vanuatu,VUT,2013,4.4
Venezuela,VEN,2013,4.6
Vietnam,VNM,2013,3.7
Yemen,YEM,2013,3.1
Zambia,ZMB,2013,4.6
Zimbabwe,ZWE,2013,4.7